id,mac,type,rssi,rssiOrigin,deviceId,gatewayId,gatewayLogId,raw,createdAt,updatedAt
53062742,dd3c23d9f3fa,0,63,193,113414,3,1793395,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53063176,dd3c23d9f3fa,0,73,183,113414,3,1793481,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53068564,dd3c23d9f3fa,0,86,170,113414,4,1793524,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:43
53069983,dd3c23d9f3fa,0,62,194,113414,3,1793509,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53070011,dd3c23d9f3fa,0,56,200,113414,3,1793509,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53072210,dd3c23d9f3fa,0,62,194,113414,3,1793389,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53082668,dd3c23d9f3fa,0,85,171,113414,4,1793348,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:45
53084155,dd3c23d9f3fa,0,86,170,113414,4,1793488,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53084206,dd3c23d9f3fa,0,71,185,113414,3,1793489,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53084236,dd3c23d9f3fa,0,73,183,113414,3,1793489,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53089790,dd3c23d9f3fa,0,65,191,113414,3,1793417,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53089817,dd3c23d9f3fa,0,58,198,113414,3,1793417,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53101080,dd3c23d9f3fa,0,56,200,113414,3,1793453,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:47
53103109,dd3c23d9f3fa,0,62,194,113414,3,1793557,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53110111,dd3c23d9f3fa,0,76,180,113414,3,1793449,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53112395,dd3c23d9f3fa,0,57,199,113414,3,1793473,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53120381,dd3c23d9f3fa,0,62,194,113414,3,1793468,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53125877,dd3c23d9f3fa,0,91,165,113414,2,1793342,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53128458,dd3c23d9f3fa,0,85,171,113414,4,1793457,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53133119,dd3c23d9f3fa,0,63,193,113414,3,1793525,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53135556,dd3c23d9f3fa,0,85,171,113414,4,1793396,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53136575,dd3c23d9f3fa,0,76,180,113414,3,1793317,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53144112,dd3c23d9f3fa,0,59,197,113414,3,1793453,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53144139,dd3c23d9f3fa,0,56,200,113414,3,1793453,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53144339,dd3c23d9f3fa,0,62,194,113414,3,1793537,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53146071,dd3c23d9f3fa,0,61,195,113414,3,1793517,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53146102,dd3c23d9f3fa,0,56,200,113414,3,1793517,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53148695,dd3c23d9f3fa,0,86,170,113414,4,1793544,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53150475,dd3c23d9f3fa,0,84,172,113414,4,1793524,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53150510,dd3c23d9f3fa,0,86,170,113414,4,1793524,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53155567,dd3c23d9f3fa,0,83,173,113414,4,1793343,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53162147,dd3c23d9f3fa,0,54,202,113414,3,1793339,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53163141,dd3c23d9f3fa,0,73,183,113414,3,1793349,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53163176,dd3c23d9f3fa,0,54,202,113414,3,1793349,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53163431,dd3c23d9f3fa,0,62,194,113414,3,1793553,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53163447,dd3c23d9f3fa,0,62,194,113414,3,1793553,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53165072,dd3c23d9f3fa,0,86,170,113414,4,1793496,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53166176,dd3c23d9f3fa,0,84,172,113414,4,1793392,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53171166,dd3c23d9f3fa,0,53,203,113414,3,1793369,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53175780,dd3c23d9f3fa,0,93,163,113414,2,1793423,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53181478,dd3c23d9f3fa,0,84,172,113414,4,1793484,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53183290,dd3c23d9f3fa,0,91,165,113414,2,1793431,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53185306,dd3c23d9f3fa,0,63,193,113414,3,1793497,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53185666,dd3c23d9f3fa,0,85,171,113414,4,1793338,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53195506,dd3c23d9f3fa,0,84,172,113414,4,1793416,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53201207,dd3c23d9f3fa,0,73,183,113414,3,1793319,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53207192,dd3c23d9f3fa,0,56,200,113414,3,1793465,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53215014,dd3c23d9f3fa,0,85,171,113414,4,1793516,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53221310,dd3c23d9f3fa,0,85,171,113414,4,1793504,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53221987,dd3c23d9f3fa,0,85,171,113414,4,1793348,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53229414,dd3c23d9f3fa,0,83,173,113414,4,1793353,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53231034,dd3c23d9f3fa,0,92,164,113414,2,1793372,0201060303aafe1116aafe20000d0e1800003a3b090199c072,2020/3/28 16:05,2020/3/28 16:05
53237607,dd3c23d9f3fa,0,86,170,113414,4,1793560,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53243919,dd3c23d9f3fa,0,53,203,113414,3,1793359,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53243959,dd3c23d9f3fa,0,55,201,113414,3,1793359,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53255995,dd3c23d9f3fa,0,86,170,113414,4,1793512,0201060303aafe1116aafe20000d0e1840003a3b3b0199c1d2,2020/3/28 16:05,2020/3/28 16:05
53256155,dd3c23d9f3fa,0,90,166,113414,2,1793352,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
53256279,dd3c23d9f3fa,0,67,189,113414,3,1793354,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:05,2020/3/28 16:05
