id,mac,type,rssi,rssiOrigin,deviceId,gatewayId,gatewayLogId,raw,createdAt,updatedAt
53871537,f4fe7a37a024,2,90,166,113441,5,1812006,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
53883495,f4fe7a37a024,2,88,168,113441,5,1811991,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
53922915,f4fe7a37a024,2,88,168,113441,5,1811996,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54035391,f4fe7a37a024,2,55,201,113441,2,1811959,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54038310,f4fe7a37a024,2,52,204,113441,2,1812005,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54047000,f4fe7a37a024,2,49,207,113441,2,1812035,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54068783,f4fe7a37a024,2,53,203,113441,2,1812054,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54087804,f4fe7a37a024,2,51,205,113441,2,1812040,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54091341,f4fe7a37a024,2,48,208,113441,2,1811971,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54091356,f4fe7a37a024,2,48,208,113441,2,1811971,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54103909,f4fe7a37a024,2,54,202,113441,2,1812085,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54114292,f4fe7a37a024,2,48,208,113441,2,1812019,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54131596,f4fe7a37a024,2,54,202,113441,2,1811955,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54132104,f4fe7a37a024,2,54,202,113441,2,1812100,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54137292,f4fe7a37a024,2,55,201,113441,2,1812070,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54190663,f4fe7a37a024,2,48,208,113441,2,1812150,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54191475,f4fe7a37a024,2,48,208,113441,2,1812165,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 18:54
54207492,f4fe7a37a024,2,55,201,113441,2,1812105,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54218101,f4fe7a37a024,2,48,208,113441,2,1812165,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54224845,f4fe7a37a024,2,53,203,113441,2,1812155,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54245641,f4fe7a37a024,2,50,206,113441,2,1812130,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54283127,f4fe7a37a024,2,45,211,113441,2,1812186,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54283136,f4fe7a37a024,2,49,207,113441,2,1812186,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54310020,f4fe7a37a024,2,87,169,113441,1,1812153,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54408478,f4fe7a37a024,2,79,177,113441,1,1811942,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54435456,f4fe7a37a024,2,82,174,113441,1,1811958,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54576663,f4fe7a37a024,2,86,170,113441,1,1812003,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54602901,f4fe7a37a024,2,58,198,113441,2,1812115,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54612626,f4fe7a37a024,2,81,175,113441,1,1811988,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54612647,f4fe7a37a024,2,81,175,113441,1,1811988,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54618228,f4fe7a37a024,2,80,176,113441,1,1811946,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54650212,f4fe7a37a024,2,87,169,113441,1,1812118,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
54720544,f4fe7a37a024,2,50,206,113441,2,1812120,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
55399563,f4fe7a37a024,2,81,175,113441,5,1811981,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:18,2020/3/28 17:18
53573446,f4fe7a37a024,2,83,173,113441,1,1812288,0201041bff570102ffffffffffffffffffffffffffffffff03f4fe7a37a024,2020/3/28 17:19,2020/3/28 17:44
