,id,mac,type,rssi,rssiOrigin,deviceId,gatewayId,gatewayLogId,raw,createdAt,updatedAt
0,4781511,dd3c23d9f3fa,0,72,184,12826,3,101265,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:05,2020-04-07 10:55:05
1,4781687,dd3c23d9f3fa,0,80,176,12826,4,101266,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:05,2020-04-07 10:55:05
2,4781845,dd3c23d9f3fa,0,64,192,12826,3,101269,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:06,2020-04-07 10:55:06
3,4781871,dd3c23d9f3fa,0,56,200,12826,3,101269,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:06,2020-04-07 10:55:06
4,4781776,dd3c23d9f3fa,0,56,200,12826,3,101269,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:06,2020-04-07 10:55:07
5,4781539,dd3c23d9f3fa,0,64,192,12826,3,101269,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:06,2020-04-07 10:55:06
6,4783809,dd3c23d9f3fa,0,58,198,12826,3,101298,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:12,2020-04-07 10:55:12
7,4784393,dd3c23d9f3fa,0,88,168,12826,3,101312,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:15,2020-04-07 10:55:15
8,4784655,dd3c23d9f3fa,0,88,168,12826,3,101312,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:15,2020-04-07 10:55:15
9,4784679,dd3c23d9f3fa,0,58,198,12826,3,101312,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:15,2020-04-07 10:55:15
10,4784628,dd3c23d9f3fa,0,58,198,12826,3,101312,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:15,2020-04-07 10:55:16
11,4785550,dd3c23d9f3fa,0,80,176,12826,4,101324,0201060303aafe1116aafe20000cfc1a00004c884a021abf5f,2020-04-07 10:55:17,2020-04-07 10:55:17
12,4786220,dd3c23d9f3fa,0,64,192,12826,3,101337,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:20,2020-04-07 10:55:20
13,4786103,dd3c23d9f3fa,0,64,192,12826,3,101337,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:20,2020-04-07 10:55:21
14,4786302,dd3c23d9f3fa,0,57,199,12826,3,101342,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:21,2020-04-07 10:55:22
15,4786573,dd3c23d9f3fa,0,57,199,12826,3,101342,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:21,2020-04-07 10:55:21
16,4786674,dd3c23d9f3fa,0,80,176,12826,4,101340,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:21,2020-04-07 10:55:21
17,4786754,dd3c23d9f3fa,0,63,193,12826,3,101345,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:22,2020-04-07 10:55:23
18,4786894,dd3c23d9f3fa,0,63,193,12826,3,101345,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:22,2020-04-07 10:55:22
19,4787473,dd3c23d9f3fa,0,57,199,12826,3,101356,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:24,2020-04-07 10:55:24
20,4787379,dd3c23d9f3fa,0,57,199,12826,3,101356,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:24,2020-04-07 10:55:25
21,4788096,dd3c23d9f3fa,0,63,193,12826,3,101365,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:26,2020-04-07 10:55:28
22,4788209,dd3c23d9f3fa,0,63,193,12826,3,101365,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 10:55:26,2020-04-07 10:55:26
